University,Type ,Index_faculty_number component,Index_salary component,Final_index,Year,Rank,Rank for gender,Rank for salary
Missouri University of Science and Technology,public,0.318170426,0.908528663,55.43137208,2015,93,92,63
University of California-Berkeley,public,0.483754686,0.908328212,65.35840964,2015,79,77,64
University of Minnesota-Twin Cities,public,0.59746261,0.908315442,72.1803743,2015,46,42,65
University of Florida,public,0.412499306,0.908201787,61.07802981,2015,89,89,66
University of Oklahoma-Norman Campus,public,0.553145347,0.906856944,69.46299858,2015,54,54,67
University of California-Santa Barbara,public,0.493670212,0.905479217,65.8393814,2015,77,72,68
Mississippi State University,public,0.470476466,0.905056217,64.43083663,2015,82,81,69
University of Alabama in Huntsville,public,0.502405067,0.904393063,66.32002652,2015,71,69,70
Florida State University,public,0.533784051,0.900438704,68.0445912,2015,63,60,71
University of California-Los Angeles,public,0.509452786,0.900229673,66.57635404,2015,69,67,72
Arizona State University-Tempe,public,0.551808757,0.899835067,69.10192812,2015,57,55,73
University of Virginia-Main Campus,public,0.537539803,0.899756833,68.24266147,2015,61,58,74
University of Illinois at Urbana-Champaign,public,0.502335434,0.899741303,66.12977814,2015,74,70,75
Indiana University-Purdue University-Indianapolis,public,0.66938209,0.899441906,76.14060166,2015,21,14,76
University of Arizona,public,0.571802138,0.89856415,70.25069428,2015,52,49,77
University of Cincinnati-Main Campus,public,0.687948638,0.897885706,77.19234655,2015,12,9,78
University at Buffalo,public,0.547005038,0.897754369,68.73047703,2015,60,56,79
University of North Carolina at Chapel Hill,public,0.640288627,0.897522156,74.31820382,2015,29,22,80
University of California-San Diego,public,0.44808361,0.895553774,62.70716753,2015,88,85,81
Auburn University,public,0.580796016,0.895264108,70.65832527,2015,51,47,82
University of Maryland-College Park,public,0.505057707,0.893937825,66.06097539,2015,75,68,83
University of Houston,public,0.481100256,0.893767589,64.61671893,2015,81,79,84
University of South Florida-Main Campus,public,0.68040187,0.893007689,76.54441974,2015,16,12,85
Oklahoma State University-Main Campus,public,0.482183383,0.892581796,64.6342748,2015,80,78,86
Ohio State University-Main Campus,public,0.627337181,0.891517279,73.30092206,2015,36,28,87
University of Missouri-Columbia,public,0.628068045,0.890807502,73.31638276,2015,35,27,88
Washington State University,public,0.517590296,0.890613505,66.67995792,2015,68,64,89
The University of Tennessee-Knoxville,public,0.611810786,0.890462084,72.3271305,2015,44,37,90
University of Pittsburgh-Pittsburgh Campus,public,0.62039079,0.889935862,72.82088188,2015,41,33,91
Indiana University-Bloomington,public,0.559279203,0.887027183,69.03783952,2015,58,53,92
University of Texas Southwestern Medical Center,public,0.624396189,0.886404339,72.91994489,2015,39,31,93
University of South Carolina-Columbia,public,0.681004323,0.885038406,76.26179564,2015,19,11,94
The University of Alabama,public,0.678994071,0.880358368,75.95397901,2015,22,13,95
University of Iowa,public,0.569322929,0.876918502,69.23611584,2015,55,51,96
Texas Tech University,public,0.486437603,0.874771634,64.17712155,2015,83,76,97
George Mason University,public,0.625708812,0.867090738,72.22615827,2015,45,30,98
United States Merchant Marine Academy,public,0.204433117,0.7169207,40.94281501,2015,99,99,99
Scripps College,private,0.773319616,0.992428598,86.09632088,2016,12,14,1
Tufts University,private,0.664195724,0.991788393,79.52327916,2016,34,40,2
